timeStamp,elapsed,responseCode,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1559320155530,269,200,true,1614,116,4,4,269,0,129
1559320155561,238,200,true,1608,116,4,4,238,0,112
1559320155662,243,200,true,1613,116,5,5,243,0,117
1559320155756,231,200,true,1614,116,6,6,231,0,112
1559320155807,232,200,true,1592,116,6,6,232,0,111
1559320155807,247,200,true,1592,116,6,6,246,0,122
1559320155855,236,200,true,1613,116,7,7,236,0,111
1559320155906,243,200,true,1597,116,7,7,243,0,123
1559320155957,254,200,true,1608,116,8,8,253,0,114
1559320155988,251,200,true,1592,116,8,8,251,0,125
1559320156040,260,200,true,1608,116,9,9,260,0,134
1559320156057,260,200,true,1592,116,9,9,260,0,139
1559320156055,273,200,true,1592,116,9,9,273,0,141
1559320156092,270,200,true,1592,116,10,10,270,0,135
1559320156150,239,200,true,1592,116,10,10,239,0,115
1559320156154,245,200,true,1592,116,10,10,244,0,121
1559320156211,237,200,true,1608,116,10,10,237,0,117
1559320156240,239,200,true,1592,116,10,10,238,0,113
1559320156256,248,200,true,1608,116,10,10,248,0,122
1559320156300,254,200,true,1592,116,10,10,253,0,119
1559320156318,239,200,true,1614,116,10,10,239,0,117
1559320156329,265,200,true,1592,116,10,10,265,0,131
1559320156355,265,200,true,1613,116,10,10,264,0,133
1559320156363,260,200,true,1592,116,10,10,259,0,125
1559320156390,250,200,true,1597,116,10,10,250,0,116
1559320156399,350,200,true,1597,116,10,10,350,0,127
1559320156448,377,200,true,1592,116,10,10,377,0,124
1559320156479,360,200,true,1608,116,10,10,360,0,118
1559320156505,462,200,true,1592,116,10,10,462,0,135
1559320156555,473,200,true,1597,116,10,10,473,0,260
1559320156557,482,200,true,1614,116,10,10,482,0,261
1559320156594,453,200,true,1592,116,10,10,453,0,239
1559320156623,454,200,true,1608,116,10,10,454,0,234
1559320156620,458,200,true,1592,116,10,10,457,0,235
1559320156641,466,200,true,1608,116,10,10,466,0,331
1559320156750,381,200,true,1592,116,10,10,381,0,259
1559320156840,345,200,true,1614,116,10,10,345,0,217
1559320156825,361,200,true,1608,116,10,10,361,0,222
1559320156968,258,200,true,1614,116,10,10,258,0,130
1559320157028,251,200,true,1592,116,10,10,251,0,126
1559320157040,243,200,true,1608,116,10,10,243,0,127
1559320157048,258,200,true,1592,116,10,10,257,0,135
1559320157078,275,200,true,1608,116,10,10,275,0,137
1559320157078,279,200,true,1613,116,10,10,278,0,139
1559320157108,260,200,true,1592,116,10,10,257,0,121
1559320157132,269,200,true,1592,116,10,10,269,0,132
1559320157186,259,200,true,1592,116,10,10,259,0,136
1559320157187,271,200,true,1608,116,10,10,271,0,140
1559320157226,293,200,true,1592,116,10,10,293,0,142
1559320157280,277,200,true,1614,116,10,10,276,0,131
1559320157306,261,200,true,1592,116,10,10,261,0,131
1559320157284,293,200,true,1613,116,10,10,290,0,137
1559320157357,263,200,true,1592,116,10,10,263,0,132
1559320157354,268,200,true,1592,116,10,10,268,0,134
1559320157368,285,200,true,1614,116,10,10,285,0,148
1559320157402,267,200,true,1592,116,10,10,266,0,133
1559320157446,289,200,true,1608,116,10,10,287,0,145
1559320157458,279,200,true,1614,116,10,10,278,0,143
1559320157520,292,200,true,1592,116,10,10,292,0,139
1559320157558,269,200,true,1592,116,10,10,269,0,135
1559320157568,269,200,true,1597,116,10,10,269,0,135
1559320157577,269,200,true,1608,116,10,10,269,0,127
1559320157621,291,200,true,1592,116,10,10,290,0,146
1559320157622,294,200,true,1597,116,10,10,294,0,146
1559320157654,278,200,true,1592,116,10,10,278,0,144
1559320157669,292,200,true,1592,116,10,10,290,0,149
1559320157736,279,200,true,1592,116,10,10,278,0,128
1559320157737,281,200,true,1592,116,10,10,281,0,141
1559320157813,302,200,true,1608,116,10,10,302,0,148
1559320157827,298,200,true,1614,116,10,10,296,0,147
1559320157837,305,200,true,1592,116,10,10,305,0,144
1559320157846,300,200,true,1614,116,10,10,300,0,147
1559320157912,276,200,true,1608,116,10,10,276,0,135
1559320157917,277,200,true,1613,116,10,10,277,0,134
1559320157932,285,200,true,1614,116,10,10,284,0,136
1559320157961,276,200,true,1613,116,10,10,275,0,154
1559320158019,283,200,true,1613,116,10,10,283,0,152
1559320158015,288,200,true,1592,116,10,10,288,0,142
1559320158115,264,200,true,1614,116,10,10,264,0,129
1559320158125,255,200,true,1592,116,10,10,255,0,132
1559320158147,258,200,true,1592,116,10,10,258,0,130
1559320158142,267,200,true,1592,116,10,10,267,0,134
1559320158194,264,200,true,1592,116,10,10,264,0,133
1559320158217,242,200,true,1592,116,10,10,242,0,120
1559320158189,276,200,true,1592,116,10,10,276,0,134
1559320158237,251,200,true,1614,116,10,10,251,0,118
1559320158303,251,200,true,1592,116,10,10,251,0,129
1559320158303,256,200,true,1592,116,10,10,256,0,130
1559320158380,421,200,true,1608,116,10,10,421,0,121
1559320158381,425,200,true,1592,116,10,10,425,0,123
1559320158406,407,200,true,1614,116,10,10,407,0,123
1559320158409,406,200,true,1613,116,10,10,406,0,127
1559320158459,396,200,true,1592,116,10,10,396,0,138
1559320158459,398,200,true,1592,116,10,10,397,0,139
1559320158465,521,200,true,1608,116,10,10,519,0,238
1559320158488,503,200,true,1592,116,10,10,502,0,219
1559320158555,486,200,true,1608,116,10,10,486,0,280
1559320158560,506,200,true,1614,116,10,10,506,0,278
1559320158802,352,200,true,1614,116,10,10,350,0,198
1559320158806,383,200,true,1592,116,10,10,382,0,220
1559320158815,391,200,true,1597,116,10,10,391,0,213
1559320158813,395,200,true,1614,116,10,10,393,0,215
1559320158856,371,200,true,1608,116,10,10,371,0,212
1559320158858,388,200,true,1592,116,10,10,388,0,227
